1. Email,2. Level of study,3. Faculty,4. AI familiarity,5. Used AI tools,6. Tools used,7. Usage frequency,8. Challenges,9. Helpful tools needed,10. Improves learning?,11. Suggestions
berry_a@gmail.com,Undergraduate,Education,Somewhat familiar,GitHub Copilot,GitHub Copilot,2,"Integration with existing systems, Cost of implementation",Automated clinical skills problem generator,Maybe,Implement real-time student performance prediction in Engineering fundamentals courses with Transformer models
cabrerav@gmail.com,Postgraduate,Engineering,Not familiar at all,None,None,1,"Integration with existing systems, Limited awareness of available AI tools",AI teaching assistant that predicts cognitive load,Yes,Implement real-time learning gaps prediction in Language learning courses with Transformer models
susan86@gmail.com,Postgraduate,Education,Somewhat familiar,"IBM Watson, Microsoft Copilot","IBM Watson, Microsoft Copilot",3,Lack of access to devices or internet,Real-time clinical skills error detection,Maybe,Develop Graph Neural Networks to predict learning gaps in Engineering fundamentals for resource recommendation
cheryl58@gmail.com,Postgraduate,Health Sciences,Somewhat familiar,Turnitin,Turnitin,2,"Privacy concerns, Lack of training on how to use AI tools",predictive analytics-powered concept visualization system,No,Develop Transformer models to predict student performance in Language learning for resource recommendation
danielle.johnson@gmail.com,Undergraduate,Education,Very familiar,"GitHub Copilot, Grammarly, ChatGPT, Microsoft Copilot","GitHub Copilot, Grammarly, ChatGPT, Microsoft Copilot",5,None,NLP-powered writing assistance system,No,Ensemble methods-based system for curriculum optimization focusing on student performance in Programming
jennifer.malone@gmail.com,Undergraduate,Business,Not familiar at all,None,None,1,"Cost of implementation, Lack of training on how to use AI tools",NLP-powered concept visualization system,No,Develop Transformer models to predict knowledge retention in Mathematics for adaptive testing
alexander_c@gmail.com,Postgraduate,Engineering,Very familiar,"ChatGPT, Turnitin","ChatGPT, Turnitin",4,None,Automated languages problem generator,No,Develop Transformer models to predict engagement levels in Clinical skills for early warning systems
clark_e@gmail.com,Postgraduate,Engineering,Somewhat familiar,"GitHub Copilot, IBM Watson","GitHub Copilot, IBM Watson",2,None,knowledge graphs-powered concept visualization system,Maybe,Develop Transformer models to predict student performance in Language learning for resource recommendation
carter_p@gmail.com,Postgraduate,Health Sciences,Very familiar,"ChatGPT, Grammarly, Microsoft Copilot, GitHub Copilot","ChatGPT, Grammarly, Microsoft Copilot, GitHub Copilot",5,None,NLP-powered writing assistance system,No,Develop LSTM networks to predict knowledge retention in Programming for adaptive testing
middleton_p@gmail.com,Postgraduate,Business,Not familiar at all,None,None,1,None,Automated languages problem generator,Maybe,Develop Time-series analysis to predict learning gaps in Mathematics for adaptive testing
scottt@gmail.com,Undergraduate,Health Sciences,Somewhat familiar,Grammarly,Grammarly,2,None,Automated languages problem generator,No,Develop Bayesian networks to predict course difficulty in Business courses for early warning systems
thomas.martinez@gmail.com,Postgraduate,Health Sciences,Somewhat familiar,Turnitin,Turnitin,3,None,AI teaching assistant that predicts knowledge gaps,Yes,Bayesian networks-based system for early warning systems focusing on course difficulty in Programming
billy49@gmail.com,Postgraduate,Engineering,Somewhat familiar,Grammarly,Grammarly,2,None,Real-time math error detection,Yes,Develop Graph Neural Networks to predict learning gaps in Engineering fundamentals for adaptive testing
blanchard_a@gmail.com,Undergraduate,Business,Not familiar at all,None,None,1,None,Automated programming problem generator,No,Develop Ensemble methods to predict skill mastery in Programming for early warning systems
oscar70@gmail.com,Undergraduate,Education,Somewhat familiar,"GitHub Copilot, Microsoft Copilot","GitHub Copilot, Microsoft Copilot",2,None,AI teaching assistant that visualizes knowledge gaps,Maybe,Create Programming-specific model using LSTM networks that enables personalized learning paths
walkerc@gmail.com,Postgraduate,Engineering,Somewhat familiar,Turnitin,Turnitin,2,None,AI teaching assistant that visualizes knowledge gaps,Maybe,Graph Neural Networks-based system for personalized learning paths focusing on student performance in Mathematics
lewism@gmail.com,Undergraduate,Engineering,Somewhat familiar,"ChatGPT, IBM Watson","ChatGPT, IBM Watson",3,None,AI teaching assistant that predicts knowledge gaps,No,Random Forests-based system for adaptive testing focusing on learning gaps in Programming
joseph58@gmail.com,Postgraduate,Education,Very familiar,"Grammarly, GitHub Copilot","Grammarly, GitHub Copilot",3,"Lack of access to devices or internet, Technical issues with tools/platforms",predictive analytics-powered writing assistance system,Maybe,Faculty training program on model interpretation
isaiah52@gmail.com,Undergraduate,Engineering,Somewhat familiar,"IBM Watson, Turnitin","IBM Watson, Turnitin",3,None,knowledge graphs-powered concept visualization system,No,Time-series analysis-based system for personalized learning paths focusing on course difficulty in Language learning
daniel17@gmail.com,Undergraduate,Education,Somewhat familiar,Turnitin,Turnitin,2,"Privacy concerns, Lack of training on how to use AI tools",reinforcement learning-powered code debugging system,Maybe,Student training program on model interpretation
stacy88@gmail.com,Undergraduate,Education,Not familiar at all,None,None,1,Limited awareness of available AI tools,NLP-powered plagiarism detection system,Maybe,Develop Time-series analysis to predict learning gaps in Mathematics for adaptive testing
romero_b@gmail.com,Other,Engineering,Not familiar at all,None,None,1,None,AI teaching assistant that visualizes cognitive load,Maybe,Bayesian networks-based system for tutor matching focusing on skill mastery in Business courses
ortiz_d@gmail.com,Other,Engineering,Somewhat familiar,Grammarly,Grammarly,2,None,reinforcement learning-powered automated grading system,Maybe,Implement real-time skill mastery prediction in Engineering fundamentals courses with Graph Neural Networks
dennis50@gmail.com,Postgraduate,Health Sciences,Somewhat familiar,ChatGPT,ChatGPT,2,None,Personalized math learning coach,Maybe,Create Clinical skills-specific model using Bayesian networks that enables tutor matching
kennedy_t@gmail.com,Undergraduate,Business,Not familiar at all,None,None,1,None,AI teaching assistant that visualizes knowledge gaps,No,Bayesian networks-based system for tutor matching focusing on skill mastery in Business courses
pearsont@gmail.com,Postgraduate,Engineering,Somewhat familiar,"Grammarly, IBM Watson","Grammarly, IBM Watson",3,None,NLP-powered code debugging system,No,Implement real-time dropout risk prediction in Engineering fundamentals courses with Ensemble methods
michael11@gmail.com,Undergraduate,Engineering,Somewhat familiar,Microsoft Copilot,Microsoft Copilot,2,Limited awareness of available AI tools,computer vision-powered concept visualization system,Yes,Partner with international companies for tool access
cruz_h@gmail.com,Postgraduate,Business,Somewhat familiar,Microsoft Copilot,Microsoft Copilot,2,None,predictive analytics-powered writing assistance system,Maybe,Implement real-time engagement levels prediction in Mathematics courses with Transformer models
holland_m@gmail.com,Postgraduate,Education,Not familiar at all,None,None,1,None,NLP-powered plagiarism detection system,No,Student training program on AI ethics
kaitlyn.watkins@gmail.com,Postgraduate,Business,Not familiar at all,None,None,1,None,computer vision-powered concept visualization system,Maybe,Develop Ensemble methods to predict skill mastery in Programming for early warning systems
laura.hale@gmail.com,Other,Education,Not familiar at all,None,None,1,None,NLP-powered concept visualization system,No,Develop Random Forests to predict skill mastery in Business courses for curriculum optimization
sawyerm@gmail.com,Undergraduate,Health Sciences,Not familiar at all,None,None,1,None,AI teaching assistant that visualizes knowledge gaps,Maybe,Bayesian networks-based system for curriculum optimization focusing on engagement levels in Business courses
lauren.thomas@gmail.com,Undergraduate,Health Sciences,Somewhat familiar,"IBM Watson, GitHub Copilot","IBM Watson, GitHub Copilot",2,None,reinforcement learning-powered code debugging system,Maybe,Develop Time-series analysis to predict dropout risk in Mathematics for tutor matching
samantha15@gmail.com,Other,Engineering,Not familiar at all,None,None,1,None,AI teaching assistant that visualizes cognitive load,Yes,Implement real-time skill mastery prediction in Engineering fundamentals courses with LSTM networks
nelsonm@gmail.com,Postgraduate,Business,Somewhat familiar,Grammarly,Grammarly,2,None,reinforcement learning-powered plagiarism detection system,Yes,Create Language learning-specific model using Ensemble methods that enables curriculum optimization
browng@gmail.com,Undergraduate,Health Sciences,Somewhat familiar,"Microsoft Copilot, IBM Watson","Microsoft Copilot, IBM Watson",2,"Lack of access to devices or internet, Lack of access to devices or internet",reinforcement learning-powered writing assistance system,No,Develop Ensemble methods to predict learning gaps in Programming for resource recommendation
melvin.smith@gmail.com,Undergraduate,Engineering,Not familiar at all,None,None,1,None,reinforcement learning-powered automated grading system,Yes,Create Mathematics-specific model using Time-series analysis that enables resource recommendation
katie83@gmail.com,Undergraduate,Engineering,Not familiar at all,None,None,1,None,Personalized languages learning coach,Maybe,Bayesian networks-based system for personalized learning paths focusing on skill mastery in Mathematics
andrew88@gmail.com,Other,Business,Not familiar at all,None,None,1,None,NLP-powered automated grading system,No,Transformer models-based system for tutor matching focusing on knowledge retention in Business courses
brandi58@gmail.com,Other,Engineering,Somewhat familiar,ChatGPT,ChatGPT,3,Limited awareness of available AI tools,Real-time programming error detection,No,Ensemble methods-based system for tutor matching focusing on student performance in Programming
murphy_i@gmail.com,Undergraduate,Engineering,Very familiar,"GitHub Copilot, ChatGPT, Microsoft Copilot, Turnitin","GitHub Copilot, ChatGPT, Microsoft Copilot, Turnitin",5,"Lack of training on how to use AI tools, Cost of implementation",AI teaching assistant that adapts to knowledge gaps,No,Develop Ensemble methods to predict skill mastery in Business courses for early warning systems
